customer_id,last_period,max_period,cohort_group
sub_0000,2,12,2025-Q1
sub_0001,7,12,2025-Q2
sub_0002,4,12,2025-Q3
sub_0003,6,12,2025-Q4
sub_0004,1,12,2025-Q1
sub_0005,4,12,2025-Q2
sub_0006,5,12,2025-Q3
sub_0007,6,12,2025-Q4
sub_0008,7,12,2025-Q1
sub_0009,10,12,2025-Q2
sub_0010,6,12,2025-Q3
sub_0011,11,12,2025-Q4
sub_0012,7,12,2025-Q1
sub_0013,4,12,2025-Q2
sub_0014,3,12,2025-Q3
sub_0015,4,12,2025-Q4
sub_0016,8,12,2025-Q1
sub_0017,3,12,2025-Q2
sub_0018,11,12,2025-Q3
sub_0019,6,12,2025-Q4
sub_0020,11,12,2025-Q1
sub_0021,9,12,2025-Q2
sub_0022,5,12,2025-Q3
sub_0023,3,12,2025-Q4
sub_0024,9,12,2025-Q1
sub_0025,4,12,2025-Q2
sub_0026,3,12,2025-Q3
sub_0027,12,12,2025-Q4
sub_0028,6,12,2025-Q1
sub_0029,1,12,2025-Q2
sub_0030,6,12,2025-Q3
sub_0031,6,12,2025-Q4
sub_0032,11,12,2025-Q1
sub_0033,9,12,2025-Q2
sub_0034,3,12,2025-Q3
sub_0035,2,12,2025-Q4
sub_0036,8,12,2025-Q1
sub_0037,1,12,2025-Q2
sub_0038,4,12,2025-Q3
sub_0039,2,12,2025-Q4
sub_0040,1,12,2025-Q1
sub_0041,12,12,2025-Q2
sub_0042,2,12,2025-Q3
sub_0043,1,12,2025-Q4
sub_0044,12,12,2025-Q1
sub_0045,3,12,2025-Q2
sub_0046,10,12,2025-Q3
sub_0047,1,12,2025-Q4
sub_0048,2,12,2025-Q1
sub_0049,2,12,2025-Q2
sub_0050,9,12,2025-Q3
sub_0051,8,12,2025-Q4
sub_0052,6,12,2025-Q1
sub_0053,3,12,2025-Q2
sub_0054,2,12,2025-Q3
sub_0055,7,12,2025-Q4
sub_0056,3,12,2025-Q1
sub_0057,8,12,2025-Q2
sub_0058,9,12,2025-Q3
sub_0059,11,12,2025-Q4
sub_0060,6,12,2025-Q1
sub_0061,1,12,2025-Q2
sub_0062,4,12,2025-Q3
sub_0063,11,12,2025-Q4
sub_0064,7,12,2025-Q1
sub_0065,8,12,2025-Q2
sub_0066,6,12,2025-Q3
sub_0067,2,12,2025-Q4
sub_0068,11,12,2025-Q1
sub_0069,10,12,2025-Q2
sub_0070,12,12,2025-Q3
sub_0071,11,12,2025-Q4
sub_0072,4,12,2025-Q1
sub_0073,4,12,2025-Q2
sub_0074,3,12,2025-Q3
sub_0075,12,12,2025-Q4
sub_0076,7,12,2025-Q1
sub_0077,6,12,2025-Q2
sub_0078,12,12,2025-Q3
sub_0079,8,12,2025-Q4
