date,meta,facebook_ads,search,revenue
2024-01-01,3971.22,3772.67,1365.95,30086.9
2024-01-08,8552.82,8125.18,4509.84,43893.62
2024-01-15,8395.33,7975.57,2062.4,39204.33
2024-01-22,7557.57,7179.68,1518.06,37765.36
2024-01-29,4177.16,3968.31,4554.99,35509.55
2024-02-05,6721.85,6385.76,4822.61,41759.23
2024-02-12,4887.79,4643.4,4448.51,36294.46
2024-02-19,2732.66,2596.03,4238.06,31931.98
2024-02-26,9338.51,8871.58,3620.97,44233.16
2024-03-04,3094.55,2939.84,3203.43,31782.97
2024-03-11,9601.9,9121.83,1347.95,41178.07
2024-03-18,5568.05,5289.64,2633.81,35226.32
2024-03-25,3481.06,3307.01,2490.75,31002.21
2024-04-01,6335.21,6018.46,2039.02,35822.24
2024-04-08,8983.57,8534.4,3893.68,43584.44
2024-04-15,7857.8,7464.9,2983.5,40287.9
2024-04-22,8452.49,8029.86,1324.18,39428.07
2024-04-29,7270.27,6906.75,1880.73,36848.38
2024-05-06,7538.21,7161.29,3733.04,40742.46
2024-05-13,8793.57,8353.88,1304.52,39193.86
2024-05-20,3997.34,3797.47,4404.83,35199.45
2024-05-27,5915.4,5619.62,2980.59,35540.09
2024-06-03,3769.68,3581.19,2922.35,31643.41
2024-06-10,9901.34,9406.28,3369.63,45045.74
2024-06-17,9552.47,9074.87,4298.72,46335.8
2024-06-24,2315.41,2199.63,2391.24,28184.81
2024-07-01,7644.6,7262.38,3712.06,40579.7
2024-07-08,9401.99,8931.89,3262.93,44638.94
2024-07-15,3444.6,3272.37,2068.11,29267.37
2024-07-22,6543.56,6216.39,4514.52,38759.5
2024-07-29,9323.91,8857.7,4189.7,45152.38
2024-08-05,2271.57,2157.99,3633.81,29742.82
2024-08-12,7579.36,7200.4,4402.33,41251.6
2024-08-19,4378.79,4159.86,4469.18,35815.53
2024-08-26,9395.17,8925.41,3833.45,44662.42
2024-09-02,9768.47,9280.07,4348.05,45776.97
2024-09-09,9554.13,9076.42,3789.89,44152.94
2024-09-16,5793.71,5504.02,3720.56,37604.5
2024-09-23,8896.34,8451.52,3474.45,43329.45
2024-09-30,8756.4,8318.57,4010.87,43479.5
2024-10-07,4552.8,4325.16,1634.42,32480.56
2024-10-14,8631.32,8199.77,4523.48,43512.83
2024-10-21,2296.06,2181.27,4487.37,30560.42
2024-10-28,6770.16,6431.65,1116.99,34869.85
2024-11-04,3840.07,3648.06,4303.27,34112.25
2024-11-11,2964.54,2816.31,1515.48,28323.96
2024-11-18,2615.63,2484.84,2340.48,28621.35
2024-11-25,7570.31,7191.8,3974.03,41277.7
2024-12-02,4719.0,4483.05,1643.04,31276.79
2024-12-09,7798.13,7408.21,4271.87,42725.95
2024-12-16,2522.85,2396.72,4328.54,31497.43
2024-12-23,4522.32,4296.22,3029.87,34148.1
