date,meta,google,tiktok,revenue
2024-01-01,2498.16,2378.59,1058.99,20187.8
2024-01-02,4802.86,4751.03,2908.06,32223.26
2024-01-03,3927.98,2763.48,530.39,25258.56
2024-01-04,3394.63,1609.42,2924.7,23297.9
2024-01-05,1624.07,4404.63,607.9,23066.46
2024-01-06,1623.98,2297.0,2727.86,19851.07
2024-01-07,1232.33,5732.06,1819.25,25741.76
2024-01-08,4464.7,5792.68,2982.41,35269.63
2024-01-09,3404.46,5616.89,684.49,25949.96
2024-01-10,3832.29,3165.71,1884.64,25593.99
2024-01-11,1082.34,1569.55,2923.26,19291.32
2024-01-12,4879.64,5677.43,1807.74,32920.84
2024-01-13,4329.77,3426.83,2073.5,28553.13
2024-01-14,1849.36,5849.95,2239.37,26681.75
2024-01-15,1727.3,5836.29,1636.35,26355.59
2024-01-16,0.0,0.0,0.0,10000.0
2024-01-17,1733.62,5338.54,2068.9,25750.33
2024-01-18,2216.97,2825.02,1960.79,23483.09
2024-01-19,3099.03,3232.94,2752.9,26195.04
2024-01-20,2727.78,5330.12,613.62,26669.27
2024-01-21,2164.92,2926.15,1202.41,21060.9
2024-01-22,3447.41,2262.72,2876.03,24620.82
2024-01-23,1557.98,4005.61,2725.66,23475.87
2024-01-24,2168.58,5712.7,1639.14,27415.15
2024-01-25,2465.45,4632.13,2050.33,25801.24
2024-01-26,2824.28,4065.28,1193.45,25252.83
2024-01-27,4140.7,1937.29,970.3,25836.44
2024-01-28,1798.7,4267.53,1659.25,24500.91
2024-01-29,3056.94,5955.24,1383.38,28778.73
2024-01-30,3369.66,2130.38,1959.14,24800.11
2024-01-31,1185.8,3832.48,694.34,19932.36
2024-02-01,3430.18,5448.18,2935.99,28838.18
2024-02-02,1682.1,4833.46,2965.53,24951.38
2024-02-03,1260.21,4636.57,2245.4,21941.97
2024-02-04,0.0,0.0,0.0,10000.0
2024-02-05,4795.54,4661.18,1840.24,30797.09
2024-02-06,4862.53,3117.71,1273.82,27856.44
2024-02-07,4233.59,2821.16,2534.49,29109.81
2024-02-08,2218.46,5142.13,2211.83,27117.55
2024-02-09,1390.69,5145.51,906.54,23190.18
2024-02-10,3736.93,5401.83,2777.32,32106.72
2024-02-11,2760.61,5609.58,2556.34,27027.07
2024-02-12,35000.0,3801.04,2874.5,97526.89
2024-02-13,2980.71,3756.82,2314.3,26867.86
2024-02-14,1137.55,5092.33,2033.54,22630.47
2024-02-15,4637.28,4424.84,1545.61,31165.21
2024-02-16,2035.12,4658.85,2831.82,26599.88
2024-02-17,3650.09,5081.07,2665.16,29959.02
2024-02-18,2246.84,5505.02,613.05,26220.54
2024-02-19,3080.27,3020.98,565.92,25164.15
2024-02-20,3186.84,3190.12,1441.16,24664.53
2024-02-21,1739.42,1922.92,2526.38,20567.85
2024-02-22,4878.34,4102.26,2968.19,31218.88
2024-02-23,4100.53,1661.74,876.04,22213.71
2024-02-24,4758.0,3595.19,1985.33,30151.66
2024-02-25,4579.31,3941.9,1452.23,28056.49
2024-02-26,3391.6,2789.44,2924.79,26063.81
2024-02-27,4687.5,4158.75,2605.3,30446.94
2024-02-28,1353.97,1637.25,2595.82,19519.75
2024-02-29,1783.93,1668.07,1671.73,19266.91
2024-03-01,1180.91,5201.7,1537.05,24843.06
2024-03-02,2301.32,3120.86,1183.52,21590.66
2024-03-03,2554.71,2071.77,640.94,19848.8
2024-03-04,2085.4,3850.09,2661.81,23733.45
2024-03-05,4314.95,4964.97,2532.25,31024.25
2024-03-06,2427.01,2471.19,2999.29,23764.03
2024-03-07,2123.74,4303.01,2991.59,26764.54
2024-03-08,3170.78,1884.06,1888.58,21711.17
2024-03-09,1563.7,1732.57,2422.47,20335.32
2024-03-10,4208.79,3891.1,2861.91,31053.24
2024-03-11,1298.2,3932.86,2624.12,23497.57
2024-03-12,4947.55,4368.43,1118.37,31966.63
2024-03-13,0.0,0.0,0.0,10000.0
2024-03-14,4088.98,4767.41,1626.36,28754.94
2024-03-15,1794.86,5891.33,822.9,24295.92
2024-03-16,1022.09,3823.35,2885.13,20814.06
2024-03-17,4261.85,2953.3,2015.44,28606.58
2024-03-18,3827.43,5078.34,1071.61,29501.65
2024-03-19,3916.03,2718.75,2179.25,26068.52
2024-03-20,4085.08,3475.37,2045.32,27977.2
2024-03-21,1296.18,1853.05,1395.41,16736.09
2024-03-22,2433.86,1614.08,783.89,21646.26
2024-03-23,1463.48,5831.92,2178.93,26461.04
2024-03-24,4452.41,5261.91,1800.77,31537.07
2024-03-25,3493.19,4631.88,2430.8,29665.14
2024-03-26,2323.59,3340.29,1800.41,23765.92
2024-03-27,1254.23,2279.82,2630.45,20243.43
2024-03-28,2243.93,2203.97,1879.77,20369.03
2024-03-29,2300.73,2626.09,1902.34,22542.86
2024-03-30,3918.42,3971.52,2691.63,30881.26
2024-03-31,3550.23,4715.68,1508.71,29454.6
2024-04-01,4548.85,4470.89,835.04,30650.3
2024-04-02,2888.86,2759.7,571.96,21498.09
2024-04-03,1478.38,5796.89,2387.84,25562.65
2024-04-04,3852.98,4820.54,2050.77,29488.66
2024-04-05,4043.14,3994.59,2260.2,28853.14
2024-04-06,3245.11,4252.74,1032.41,27127.26
2024-04-07,4083.87,3388.2,840.93,24399.92
2024-04-08,2975.18,2614.79,536.36,23425.21
2024-04-09,3090.93,3101.88,1376.47,23877.18
2024-04-10,2710.16,4910.31,1974.79,26743.79
2024-04-11,1101.68,1564.77,1480.61,16004.9
2024-04-12,1431.57,2022.33,1593.69,17047.2
2024-04-13,1125.72,1707.01,2760.4,19684.84
2024-04-14,3545.64,1683.28,1370.64,22548.4
2024-04-15,0.0,0.0,0.0,10000.0
2024-04-16,2257.42,5349.57,1784.97,25447.57
2024-04-17,3034.28,4666.46,2459.13,26730.93
2024-04-18,4630.27,3633.78,1491.36,28181.24
2024-04-19,1997.17,1940.25,2055.22,22021.51
2024-04-20,2641.53,3712.27,2655.91,25420.96
2024-04-21,4022.2,3630.62,2873.8,27329.39
2024-04-22,1915.19,2279.41,867.68,19111.84
2024-04-23,1307.92,3452.33,2816.47,22198.66
